scanned_at,title,url,sku,category,availability,price,price_regular,seller,special_offers
2022-01-05T02:39:55.462659,High Peak Tarp 2 (Grey),https://allo.ua/ua/palatki/high-peak-tarp-2-grey.html,168187-0094,"Інтернет магазин,Намети,Намети High Peak",False,,,1Sale,
2022-01-05T02:40:02.016518,Рюкзак High Peak Vortex 24 (Black),https://allo.ua/ua/rjukzaki-i-sumki/high-peak-vortex-24-black_1.html,167840-0094,"Інтернет магазин,Рюкзаки,Рюкзаки High Peak",False,,,1Sale,
2022-01-05T02:40:08.737695,High Peak Durban 6 (Grey / Blue),https://allo.ua/ua/palatki/high-peak-durban-6-grey-blue.html,169185-0094,"Інтернет магазин,Намети,Намети High Peak",False,,,1Sale,
2022-01-05T02:40:15.278339,High Peak Albany 5 (Grey / Blue),https://allo.ua/ua/palatki/high-peak-albany-5-grey-blue.html,169193-0094,"Інтернет магазин,Намети,Намети High Peak",False,,,1Sale,
2022-01-05T02:40:21.885496,High Peak Paros 5 (Dark Grey / Green),https://allo.ua/ua/palatki/high-peak-paros-5-dark-grey-green.html,169212-0094,"Інтернет магазин,Намети,Намети High Peak",False,,,1Sale,
2022-01-05T02:40:28.413139,High Peak Alghero 5 (Grey / Blue),https://allo.ua/ua/palatki/high-peak-alghero-5-grey-blue.html,169195-0094,"Інтернет магазин,Намети,Намети High Peak",False,,,1Sale,
2022-01-05T02:40:35.032680,High Peak Alghero 4 (Grey / Blue),https://allo.ua/ua/palatki/high-peak-alghero-4-grey-blue.html,169194-0094,"Інтернет магазин,Намети,Намети High Peak",False,,,1Sale,
2022-01-05T02:40:41.610832,High Peak Como 4 (Nimbus Grey),https://allo.ua/ua/palatki/high-peak-como-4-nimbus-grey.html,169182-0094,"Інтернет магазин,Намети,Намети High Peak",False,,,1Sale,
2022-01-05T02:40:48.159358,High Peak Kira 5.0 (Nimbus Grey),https://allo.ua/ua/palatki/high-peak-kira-5-0-nimbus-grey.html,169190-0094,"Інтернет магазин,Намети,Намети High Peak",False,,,1Sale,
2022-01-05T02:40:54.700004,High Peak Rapido 3 (Blue / Orange),https://allo.ua/ua/palatki/high-peak-rapido-3-blue-orange.html,169214-0094,"Інтернет магазин,Намети,Намети High Peak",False,,,1Sale,
